Ticker,Model,Precision,Specificity,Recall,good_model,min_precision_by_time,init_percentage_of_1s,file_created_after_20_03,Model_type,PM_max_to_prevDayClose_ratio_class,PM_max_vs_PM_max_1dayago_class,AH_max_1dayago_to_Close_class,open_to_prev_close_class,day_of_week,high_quad_q_rel_class,Close_to_prevDayClose_class,features_length,PM_max_to_PM_min_ratio_class,Close_to_Close_1_day_ago_class,AH_max_1dayago_vs_prevDayClose_class,PM_min_to_Close_ratio_class,PM_max_to_dayOpen_ratio_class,PM_time_diff_class,dayOpen_to_prev2DayOpen_ratio_class,dayOpen_to_prevDayClose_class,Close_to_prevDayOpen_class,PM_range_to_close_ratio_class,prev2DayClose_to_prevDayClose_ratio_class,high_quad_p_rel_class,PM_min_to_prevDayOpen_ratio_class,Close_to_open_ratio_class,PM_max_to_Close_ratio_class,time_in_minutes,PM_min_to_prevDayClose_ratio_class,PM_max_to_prevDayOpen_ratio_class,PM_min_to_open_ratio_class,dayOpen_to_prevDayOpen_ratio_class,return_1d_to_return_2d_ratio_class,PM_range_to_open_ratio_class,high_slope_rel_class,return_2d_class,hist_close_ratio_class,AH_max_1dayago_vs_PM_max_class,Close_to_prevDayHigh_class,Open_1_day_ago_to_Close_1_day_ago_ratio_class,date_after_0924,FD_1,FD_2,FD_3,STD_10_class,STD_30_class,close_to_High10_class,Close_to_EMA_48_class,Close_class,date_after_0125,ema_ratio2_class,coef_p_vol_rel_class,PM_volume_max_class,close_to_Low20_class,close_to_High20_class,slope_a_vol_rel_class,date_after_1124
CVS,RF5,0.8888888888888888,0.954248366013072,0.25,1.0,0.45,44.62,0,RF,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDXX,DT5,0.9230769230769231,0.9565217391304348,0.5901639344262295,-1.0,0.75,43.38,0,DT,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,RF5,0.9743589743589743,0.995049504950495,0.21714285714285714,0.0,0.79,38.05,0,RF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUE,XGB17,0.8351648351648352,0.9112426035502958,0.36538461538461536,-1.0,0.53,44.14,0,XGB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSN,DT6,0.8269230769230769,0.9072164948453608,0.5058823529411764,1.0,0.74,32.69,0,DT,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTNT,RF8,0.9615384615384616,0.9953051643192489,0.1091703056768559,0.0,0.9,47.53685724559511,0,RF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM,DT9,0.8461538461538461,0.9755102040816327,0.16751269035532995,0.0,0.8,33.128362797847814,0,DT,1.0,0.0,1.0,1.0,0.0,0.0,1.0,11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COST,RF8,0.9090909090909091,0.9929078014184397,0.125,0.0,0.86,35.35390199637023,0,RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,RF6,0.8888888888888888,0.993127147766323,0.10596026490066225,1.0,0.86,27.0250635670178,0,RF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,RF8,1.0,1.0,0.10483870967741936,0.0,0.88,47.324955116696586,0,RF,1.0,1.0,1.0,1.0,0.0,0.0,1.0,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
